rank,front,meaning,pos,frequency,cle_wordnet,cle_closed_class,readurdu_entry,readurdu_meaning,kaikki_entry,kaikki_meaning,source
1001,بہی,"n. quince | Platts: s.f. Book of daily accounts, inerchant's or banker's book, ledger, register, diary, journal… | also: feminine singular of بَہْنا (bahnā — to flow)",noun,140157,False,False,True,"n. quince | Platts: s.f. Book of daily accounts, inerchant's or banker's book, ledger, register, diary, journal… | also: feminine singular of بَہْنا (bahnā — to flow)",True,quince,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1002,پہر,"n. unit of time equalling three hours | Platts: s.m. A division of time consisting of eight ghaṛīs or three hours, an eighth part of a day, a watch: —…",noun,17870,False,True,True,"n. unit of time equalling three hours | Platts: s.m. A division of time consisting of eight ghaṛīs or three hours, an eighth part of a day, a watch: —…",True,unit of time equalling three hours,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1003,علاوہ,"besides, in addition to (کے علاوہ)",closed-class,10312,False,True,True,"besides, in addition to (کے علاوہ)",False,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1004,بہائی,"adj. Baháʼí | n. Baháʼí | Platts: s.f. A spirit, supposed to tease infants by whispering alternately sad and pleasing things in their ears…",adj|noun,5738,False,False,True,"adj. Baháʼí | n. Baháʼí | Platts: s.f. A spirit, supposed to tease infants by whispering alternately sad and pleasing things in their ears…",True,Baháʼí,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1005,نصف,"(inf. n. of نصف 'to halve,' &c.), s.m. The half; — adj. Half; semi-; — middle-aged…",closed-class,1407,False,True,True,"(inf. n. of نصف 'to halve,' &c.), s.m. The half; — adj. Half; semi-; — middle-aged…",False,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1006,آرام,"rest, comfort",noun,1405,True,False,True,"rest, comfort",True,rest; comfort; leisure,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1007,مواقع,"plural of مَوْقِع (mauqaʻ) | also: plural formal of مَوقَعْ (mauqa' — chance, opportunity)",noun,1404,False,False,True,"plural of مَوْقِع (mauqaʻ) | also: plural formal of مَوقَعْ (mauqa' — chance, opportunity)",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1008,ڈیرہ,settlement,noun,1403,False,False,True,settlement,True,settlement,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1009,لوٹ,"spoils; loot; swag | also: form of لُوٹنا (lūṭnā — to loot, steal) | also: form of لَوٹْنا (lauṭnā — to return)",noun,1401,False,False,True,"spoils; loot; swag | also: form of لُوٹنا (lūṭnā — to loot, steal) | also: form of لَوٹْنا (lauṭnā — to return)",True,loot; swag; spoils,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1010,سفید,"adj. white; clean; blank | Platts: adj. White; clean, blank: — safaid-posh, adj. & s.m. Clothed in white; — a man dressed in white…",adj,1399,False,False,True,"adj. white; clean; blank | Platts: adj. White; clean, blank: — safaid-posh, adj. & s.m. Clothed in white; — a man dressed in white…",True,blank; clean; white,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1011,لفظ,word,noun,1399,False,False,True,word,True,"word, term","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1012,نوجوانوں,oblique plural of نَوجَوَان (naujavān) | also: plural oblique of نَوجَوَان (naujavān — young; young man; teenager),noun,1398,False,False,True,oblique plural of نَوجَوَان (naujavān) | also: plural oblique of نَوجَوَان (naujavān — young; young man; teenager),True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1013,شک,"doubt, suspicion",noun,1396,False,False,True,"doubt, suspicion",True,"doubt, uncertainty","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1014,والدہ,"n. mother | Platts: (for A. والدة wālidat, fem. of wālid), s.f. Mother. | also: feminine of والِد (vālid — father)",noun,1395,False,False,True,"n. mother | Platts: (for A. والدة wālidat, fem. of wālid), s.f. Mother. | also: feminine of والِد (vālid — father)",True,mother,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1015,ناصر,"n. defender, assistant, helper, deliverer, ally | Platts: (act. part. of نصر 'to aid,' &c.), s.m. Defender, assistant, helper, deliverer, ally",noun,1390,False,False,True,"n. defender, assistant, helper, deliverer, ally | Platts: (act. part. of نصر 'to aid,' &c.), s.m. Defender, assistant, helper, deliverer, ally",True,"defender, assistant, helper, deliverer, ally","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1016,باہمی,"mutual, shared, reciprocal, together",adj,1389,False,False,True,"mutual, shared, reciprocal, together",True,"mutual, shared, reciprocal, together","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1017,تنازع,"n. conflict, struggle | Platts: s.m. Disputing, wrangling; dispute, contention, strife",noun,1389,False,False,True,"n. conflict, struggle | Platts: s.m. Disputing, wrangling; dispute, contention, strife",True,"conflict, struggle","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1018,در,"n. door | Platts: s.m. Door, gate; — adj. & adv. (in comp.) Outer; out: — dar ānā, v.n. To come out, to issue: — dar-bān, s.m.…",noun,1389,True,False,True,"n. door | Platts: s.m. Door, gate; — adj. & adv. (in comp.) Outer; out: — dar ānā, v.n. To come out, to issue: — dar-bān, s.m.…",True,door,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1019,لباس,"clothes, clothing, attire",noun,1384,False,False,True,"clothes, clothing, attire",True,"clothes, clothing, attire","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1020,کب,"adv. when | Platts: interrog. adv. When? at what time? — kab-tak, or kab-talak, or kab-taʼīṅ, Till when? up to what time? how…",adv,1383,False,True,True,"adv. when | Platts: interrog. adv. When? at what time? — kab-tak, or kab-talak, or kab-taʼīṅ, Till when? up to what time? how…",True,when,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1021,مشورہ,"advice, consultation",noun,1380,False,False,True,"advice, consultation",True,advice; consultation; opinion,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1022,شوہر,n. husband | Platts: s.m. A husband,noun,1379,False,False,True,n. husband | Platts: s.m. A husband,True,husband,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1023,ہوٹل,"hotel, restaurant",noun,1377,False,False,True,"hotel, restaurant",True,hotel; restaurant,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1024,زیادتی,"unfairness (connoted with deception); oppression, injustice (connoted with forcefulness; coercion); rape, sexual assault",noun,1376,False,False,True,"unfairness (connoted with deception); oppression, injustice (connoted with forcefulness; coercion); rape, sexual assault",True,"rape, sexual assault; transgression, wrongdoing; unfairness (connoted with deception)","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1025,احترام,"n. respect, honour; consideration, regardfulness; attention | Platts: s.m. Holding in veneration, reverencing, respecting, honouring; paying attention (to); reverence, veneration,…",noun,1367,False,False,True,"n. respect, honour; consideration, regardfulness; attention | Platts: s.m. Holding in veneration, reverencing, respecting, honouring; paying attention (to); reverence, veneration,…",True,"attention; respect, honour; consideration, regardfulness","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1026,انعام,"reward, prize",noun,1367,False,False,True,"reward, prize",True,prize; reward,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1027,ضائع,"adj. wasted; squandered; lost, destroyed; perished | Platts: (act. part. of ضيع 'to perish,' &c.), part. adj. Perishing, becoming lost or destroyed…",adj,1364,False,False,True,"adj. wasted; squandered; lost, destroyed; perished | Platts: (act. part. of ضيع 'to perish,' &c.), part. adj. Perishing, becoming lost or destroyed…",True,"wasted; squandered; lost, destroyed; perished","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1028,تصاویر,"n. formal plural of تَصْوِیر (taṣvīr, “photograph”) | Platts: s.f. pl. (of taṣwīr), Pictures, portraits. | also: plural formal of تَصْوِیر (tasvīr — image, picture, photograph)",noun,1361,False,False,True,"n. formal plural of تَصْوِیر (taṣvīr, “photograph”) | Platts: s.f. pl. (of taṣwīr), Pictures, portraits. | also: plural formal of تَصْوِیر (tasvīr — image, picture, photograph)",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1029,نامی,"adj. having a good reputation; famous, celebrated | Platts: (nām, q.v.+ī = S. इन्), adj. & s.m. Of good repute, famous, celebrated, illustrious; — a famous or celebrated…",adj,1359,False,False,True,"adj. having a good reputation; famous, celebrated | Platts: (nām, q.v.+ī = S. इन्), adj. & s.m. Of good repute, famous, celebrated, illustrious; — a famous or celebrated…",True,"famous, celebrated; having a good reputation","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1030,حلقوں,"oblique plural of حَلْقَہ (halqō̃) | also: plural oblique of حَلْقَہ (halqa — constituency, electoral district)",noun,1357,False,False,True,"oblique plural of حَلْقَہ (halqō̃) | also: plural oblique of حَلْقَہ (halqa — constituency, electoral district)",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1031,شکر,"gratitude, thanks",adj|name|noun,1353,False,False,True,"gratitude, thanks",True,sugar; Venus; bright,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1032,کاروباری,n. businessman | adj. pertaining to business,adj|noun,1352,False,False,True,n. businessman | adj. pertaining to business,True,businessman; pertaining to business,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1033,بیٹا,"son, boy; child (any gender)",noun,1351,False,False,True,"son, boy; child (any gender)",True,"son, boy; child (any gender)","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1034,ضمانت,"n. bail; guarantee, security | Platts: (for A. ضمانة, fr. ẓamān), s.f. Security, &c. ( = ẓāminī, q.v.): — ẓamānat-pe rahā karnā, v.t…",noun,1350,False,False,True,"n. bail; guarantee, security | Platts: (for A. ضمانة, fr. ẓamān), s.f. Security, &c. ( = ẓāminī, q.v.): — ẓamānat-pe rahā karnā, v.t…",True,"bail; guarantee, security","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1035,رو,"s.m. Cry, clamour, din; sound, noise; voice; hum; report, fame",content word,1349,True,False,True,"s.m. Cry, clamour, din; sound, noise; voice; hum; report, fame",False,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1036,اصول,"n. plural of اصل (asl); principles; maxim | Platts: s.f. m.(?) pl. (of aṣl), Roots, fundamentals, essentials, elements, first principles; causes, general or…",noun,1348,False,False,True,"n. plural of اصل (asl); principles; maxim | Platts: s.f. m.(?) pl. (of aṣl), Roots, fundamentals, essentials, elements, first principles; causes, general or…",True,"maxim; principles; law, mot, motto, rule","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1037,چائے,tea; chai; cha,noun,1348,False,False,True,tea; chai; cha,True,cha; tea,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1038,اختلافات,"formal plural of اِخْتِلاف (ixtilāf) | also: plural formal of اِخْتِلاف (ixtilāf — discord, clash, difference, disagreement, misunder)",noun,1344,False,False,True,"formal plural of اِخْتِلاف (ixtilāf) | also: plural formal of اِخْتِلاف (ixtilāf — discord, clash, difference, disagreement, misunder)",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1039,قبضہ,"possession, occupation, grip",noun,1344,False,False,True,"possession, occupation, grip",True,a handful; holding; grasp; hinge (of doors and boxes etc.),"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1040,ثبوت,"proof, evidence",noun,1333,False,False,True,"proof, evidence",True,proof; evidence,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1041,مختصر,"adj. brief, short (in duration or area); concise; abbreviated | Platts: (pass. part. of اختصر 'to abridge, curtail,' &c., viii of خصر; but prob. fr. ḵẖaṣr, 'middle; waist'), part. &…",adj,1327,False,False,True,"adj. brief, short (in duration or area); concise; abbreviated | Platts: (pass. part. of اختصر 'to abridge, curtail,' &c., viii of خصر; but prob. fr. ḵẖaṣr, 'middle; waist'), part. &…",True,"concise; abbreviated; brief, short (in duration or area)","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1042,مردوں,"oblique plural of مَرْد (mard, “man”); oblique plural of مُرْد (murd, “the dead”) | also: plural oblique of مَرْد (mard — man) | also: plural oblique of مُرْدَہ (murda — dead; the dead (ie. a corpse))",noun,1327,False,False,True,"oblique plural of مَرْد (mard, “man”); oblique plural of مُرْد (murd, “the dead”) | also: plural oblique of مَرْد (mard — man) | also: plural oblique of مُرْدَہ (murda — dead; the dead (ie. a corpse))",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1043,استحکام,"n. establishment, stability, firmness, corroboration, ratification, fastness, prolongation; courage | Platts: s.m. Firmness, strength; confirmation, corroboration, ratification; fixity: — istěḥkām denā (-ko), To…",noun,1320,False,False,True,"n. establishment, stability, firmness, corroboration, ratification, fastness, prolongation; courage | Platts: s.m. Firmness, strength; confirmation, corroboration, ratification; fixity: — istěḥkām denā (-ko), To…",True,"courage; establishment, stability, firmness, corroboration, ratification, fastness, prolongation","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1044,دلچسپ,interesting,adj,1319,False,False,True,interesting,True,interesting,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1045,دراصل,"in reality, in fact, actually, truly, in essence, in origin",adv,1318,False,False,True,"in reality, in fact, actually, truly, in essence, in origin",True,"in reality, in fact, actually, truly, in essence, in origin","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1046,تکمیل,"n. finishing, completion, conclusion | Platts: s.f. Perfecting; finishing, completing; perfection, excellence; completion; accomplishment…",noun,1314,False,False,True,"n. finishing, completion, conclusion | Platts: s.f. Perfecting; finishing, completing; perfection, excellence; completion; accomplishment…",True,"finishing, completion, conclusion","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1047,تیس,"num. thirty | Platts: adj. Thirty: — tīsoṅ-din, adv. Every day of the thirty (in the month), regularly every day ( = āʼe din; used…",num,1313,False,True,True,"num. thirty | Platts: adj. Thirty: — tīsoṅ-din, adv. Every day of the thirty (in the month), regularly every day ( = āʼe din; used…",True,thirty,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1048,شعور,"n. intellect, wisdom; good sense; consciousness; puberty, maturity | Platts: (inf. n. of شعر 'to know, to understand,' &c.), s.m. Knowledge, wisdom, intelligence, sense, discretion,…",noun,1313,False,False,True,"n. intellect, wisdom; good sense; consciousness; puberty, maturity | Platts: (inf. n. of شعر 'to know, to understand,' &c.), s.m. Knowledge, wisdom, intelligence, sense, discretion,…",True,"consciousness; puberty, maturity; intellect, wisdom; good sense","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1049,سنچری,century,noun,1312,False,False,True,century,True,century,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1050,حساب,"n. account; calculation; arithmetic; bill (a list of items needed to paid for) | Platts: (inf. n. of حسب, and also of iii of حسب 'to number,' &c.), s.m. A numbering, counting, reckoning,…",noun,1309,False,False,True,"n. account; calculation; arithmetic; bill (a list of items needed to paid for) | Platts: (inf. n. of حسب, and also of iii of حسب 'to number,' &c.), s.m. A numbering, counting, reckoning,…",True,"account; viewpoint, perspective; calculation; arithmetic","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1051,چوری,n. theft | Platts: s.f. A cake of bread rich with ghī,noun,1307,False,False,True,n. theft | Platts: s.f. A cake of bread rich with ghī,True,theft,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1052,رخ,"n. face, cheek; appearance, countenance; direction, attention | Platts: s.m. Face, countenance; cheek; face, aspect; point, side quarter, direction; — the rook or castle (at chess; …",noun,1306,True,False,True,"n. face, cheek; appearance, countenance; direction, attention | Platts: s.m. Face, countenance; cheek; face, aspect; point, side quarter, direction; — the rook or castle (at chess; …",True,"rook; face, cheek; direction, attention","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1053,ایوان,"n. hall; palace; chamber | Platts: s.m. Hall, gallery, portico (applied generally to a royal palace)",noun,1304,False,False,True,"n. hall; palace; chamber | Platts: s.m. Hall, gallery, portico (applied generally to a royal palace)",True,hall; porch; palace,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1054,چاند,"n. moon; a lunar month; the last day of the month. | Platts: s.m. The moon; the crown of the head; a white spot in the forehead of cattle, &c. (and many other things…",noun,1301,False,False,True,"n. moon; a lunar month; the last day of the month. | Platts: s.m. The moon; the crown of the head; a white spot in the forehead of cattle, &c. (and many other things…",True,moon; silver; a crown,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1055,بدولت,"through (someone), due to; by the grace (of), by the generosity (of)",adv,1295,False,False,True,"through (someone), due to; by the grace (of), by the generosity (of)",True,"through (someone), due to; by the grace (of), by the generosity (of)","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1056,مخدوم,"n. lord | Platts: (pass. part. of خدم 'to serve'), part. Served, waited on; — s.m. One who is served, a master, lord; — a…",noun,1295,False,False,True,"n. lord | Platts: (pass. part. of خدم 'to serve'), part. Served, waited on; — s.m. One who is served, a master, lord; — a…",True,lord,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1057,ترکی,Turkey; Turkish,adj|name|noun,1294,False,False,True,Turkey; Turkish,True,"the Turkish language; a horse of Turkish breed; of or belonging to a Turk; Turkish, Turk-like","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1058,سوا,"adj. With a quarter, increased by one-fourth, with one-fourth added (to it), a quarter more (it always…",closed-class,1291,True,True,True,"adj. With a quarter, increased by one-fourth, with one-fourth added (to it), a quarter more (it always…",False,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1059,غذا,"food, diet, victuals, provisions",noun,1288,False,False,True,"food, diet, victuals, provisions",True,"food, diet, victuals, provisions","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1060,شان,"splendor, dignity",noun,1286,False,False,True,"splendor, dignity",True,"honeycomb, beehive; pomp, glory, grandeur; power, authority, rank, eminence","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1061,مہر,"n. chief; headman; woman | Platts: s.m. The fourth of the seven worlds which rise one above the other (coming between Svar and Janas, and said…",noun,1286,False,False,True,"n. chief; headman; woman | Platts: s.m. The fourth of the seven worlds which rise one above the other (coming between Svar and Janas, and said…",True,air; wife; wind,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1062,حضرات,"plural formal of حَضْرَت (hazrat — Hadrat (a title applied to any great man, his Maje)",name,1283,False,False,True,"plural formal of حَضْرَت (hazrat — Hadrat (a title applied to any great man, his Maje)",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1063,محفل,"gathering, assembly",noun,1283,False,False,True,"gathering, assembly",True,assembly; gathering; congregation,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1064,زکوۃ,"alms, charity; Almsgiving; zakat, one of the five pillars of Islam",noun,1280,False,False,True,"alms, charity; Almsgiving; zakat, one of the five pillars of Islam",True,"alms, charity; Almsgiving; zakat, one of the five pillars of Islam","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1065,ظلم,"oppression, cruelty",noun,1280,False,False,True,"oppression, cruelty",True,"tyranny, oppression; wrongdoing, misdeed, injustice","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1066,ترجمہ,translation,noun,1276,False,False,True,translation,True,"rendering, rendition; translation; interpretation","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1067,جون,"name: June | Platts: s.m. An Ionian, a Greek; a Mohammadan (sometimes applied to both the Mohammadan and European invaders of…",name,1276,False,True,True,"name: June | Platts: s.m. An Ionian, a Greek; a Mohammadan (sometimes applied to both the Mohammadan and European invaders of…",True,June,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1068,جہاز,"n. plane, ship; craft; clipping of ہَوائی جَہاز (havāī jahāz, “aircraft”) | Platts: s.m. A ship; the tree of a camel's saddle, or the saddle and its appurtenances…",noun,1272,False,False,True,"n. plane, ship; craft; clipping of ہَوائی جَہاز (havāī jahāz, “aircraft”) | Platts: s.m. A ship; the tree of a camel's saddle, or the saddle and its appurtenances…",True,"craft; plane, ship","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1069,چیزیں,"direct plural of چِیز (cīz, “thing”) | also: plural direct of چِیز (cīz — thing (ie. object; item))",noun,1271,False,False,True,"direct plural of چِیز (cīz, “thing”) | also: plural direct of چِیز (cīz — thing (ie. object; item))",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1070,مرضی,"n. choice; will; need | adj. favourite; allowed; approved; sick; patient | Platts: (pass. part. of رضي (orig. رضو 'to be pleased,' &c.), part. adj. Found pleasing, well-pleasing; liked,…",adj|noun,1269,False,False,True,"n. choice; will; need | adj. favourite; allowed; approved; sick; patient | Platts: (pass. part. of رضي (orig. رضو 'to be pleased,' &c.), part. adj. Found pleasing, well-pleasing; liked,…",True,need; will; choice,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1071,سوار,"n. rider, horseman | Platts: ( = S. अश्व+वार; see aswār, and asp), adj. & s.m. Mounted, riding (on, -par); on horse-back; embarked (on a…",noun,1267,False,False,True,"n. rider, horseman | Platts: ( = S. अश्व+वार; see aswār, and asp), adj. & s.m. Mounted, riding (on, -par); on horse-back; embarked (on a…",True,"rider, horseman","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1072,جنم,"n. birth; emergence | Platts: s.m. Birth, production, origin; nativity; existence, life; state of existence…",noun,1265,False,False,True,"n. birth; emergence | Platts: s.m. Birth, production, origin; nativity; existence, life; state of existence…",True,birth; emergence,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1073,تب,"adv. then | Platts: adv. & conj. Then, at that time; afterwards; thereupon; therefore, hence: — tab-bhī, adv. Even then, then too…",adv,1261,False,True,True,"adv. then | Platts: adv. & conj. Then, at that time; afterwards; thereupon; therefore, hence: — tab-bhī, adv. Even then, then too…",True,then,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1074,سردی,"n. the cold; winter (season of the year); the common cold, flu (ie. illness) | Platts: s.f. Cold, coldness, chilliness, dampness, rawness; cold producing quality (as in drugs, articles of food,…",noun,1258,False,True,True,"n. the cold; winter (season of the year); the common cold, flu (ie. illness) | Platts: s.f. Cold, coldness, chilliness, dampness, rawness; cold producing quality (as in drugs, articles of food,…",True,the cold; shivering; winter (season of the year),"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1075,رشتہ,"relation, tie",noun,1256,False,False,True,"relation, tie",True,dracunculiasis; thread; string; proposal (of marriage),"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1076,نمائندگی,"representation (broadly, not limited.)",noun,1255,False,False,True,"representation (broadly, not limited.)",True,"representation (broadly, not limited.)","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1077,آفیسر,officer,noun,1250,False,False,True,officer,True,officer,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1078,نشست,"s.f. Sitting; session; — fixing; — position, attitude; — a sitting-room (i.q. nishast-gāh): —…",noun,1250,False,False,True,"s.f. Sitting; session; — fixing; — position, attitude; — a sitting-room (i.q. nishast-gāh): —…",True,"seat; session; gathering, sitting","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1079,انتہا,"extreme, utmost limit",noun,1249,False,False,True,"extreme, utmost limit",True,"end; limit, extent","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1080,پاؤں,foot; footprint; leg,noun,1247,False,False,True,foot; footprint; leg,True,leg; foot; interference; meddling,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1081,توانائی,"n. energy; power, ability, strength | Platts: s.f. Power, ability, strength, &c",noun,1244,False,False,True,"n. energy; power, ability, strength | Platts: s.f. Power, ability, strength, &c",True,"energy; power, ability, strength","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1082,ترجیح,"n. preference, precedence; priority | Platts: s.f. Gaining a superiority; superiority, preference, excellence, pre-eminence, precedence: — tarjīḥ-ě-bilā…",noun,1243,False,False,True,"n. preference, precedence; priority | Platts: s.f. Gaining a superiority; superiority, preference, excellence, pre-eminence, precedence: — tarjīḥ-ě-bilā…",True,"priority; preference, precedence","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1083,سوالات,"n. formal plural of سَوَال (savāl, “question”) | Platts: s.m. pl. (of suʼāl, q.v.), Questions; demands; — suʼālāt-ě-ibtidāʼī, Preliminary questions: —… | also: plural formal of سَوال (savāl — question)",noun,1242,False,False,True,"n. formal plural of سَوَال (savāl, “question”) | Platts: s.m. pl. (of suʼāl, q.v.), Questions; demands; — suʼālāt-ě-ibtidāʼī, Preliminary questions: —… | also: plural formal of سَوال (savāl — question)",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1084,گرام,gram,noun,1235,False,False,True,gram,True,gram (unit of mass),"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
