rank,front,meaning,status,wordfreq_zipf,kaikki_entry,kaikki_semantic_support,kaikki_overlap_terms,readurdu_entry,readurdu_semantic_support,calima_exact_analyses,flags
1065,پوری,s.f. A thin cake of meal fried in ghī or oil,explicit_review_required,5.610,False,False,,True,True,,
1066,لیں,take (polite/plural of لینا),explicit_review_required,5.510,False,False,,True,True,,
1067,ایس,the English letter S (in acronyms),explicit_review_required,5.680,False,False,,True,True,,
1068,مل,"s.m. Dirt, filth; dust; impurity; impure matter; excrement; refuse; sediment; dregs; scum; alloy or dross (of…",explicit_review_required,5.600,False,False,,True,True,,
1069,اسمبلی,"assembly, legislature",explicit_review_required,5.570,False,False,,True,True,,
1070,اعلان,"announcement, declaration",explicit_review_required,5.570,False,False,,True,True,,
1071,تحت,"(in A. phrases taḥtu), s.m. The location which is beneath, the interior part, the under part, the inferior…",explicit_review_required,5.440,False,False,,True,True,,
1072,ابہی,"adj. & s.m. (f. -ā), Without fear, fearless, undaunted, bold, courageous; — a fearless person, &c.…",explicit_review_required,0.000,False,False,,True,True,,
1073,آف,of (in English names: بینک آف...),explicit_review_required,5.560,False,False,,True,True,,
1074,لیگ,league,explicit_review_required,5.650,False,False,,True,True,,
1075,بہر,"(changeable to बहिस् bahis and बहिः bahih̥), adj. Out, without, outside, outer, ex ternal, exterior…",explicit_review_required,4.180,False,False,,True,True,,
1076,چکے,"(fr. ćakkā), s.m. A Hindū festival at which it is unlawful to eat any grain ground in a mill. | also: plural masculine of چُکْنا (cuknā — to be settled) | also: plural masculine of چَکْنا (caknā — to be astonished, bewildered, surprised, or amazed)",explicit_review_required,5.300,False,False,,True,True,,
1077,حالات,"circumstances, conditions",explicit_review_required,5.370,False,False,,True,True,,
1078,لگا,"seemed, struck, began (of لگنا)",explicit_review_required,5.650,False,False,,True,True,,
1079,سلسلے,"plural direct of سِلْسِلَہ (silsila — chain, shackle) | also: oblique singular of سِلْسِلَہ (silsila — chain, shackle)",explicit_review_required,5.130,False,False,,True,True,,
1080,گرفتار,"adj. & s.m. Taken, seized, arrested, captured; involved (in), entangled; liable; stricken, smitten (with…",explicit_review_required,5.320,False,False,,True,True,,
1081,رنز,s.m. Rice (syn. ćāwal; birinj),explicit_review_required,4.600,False,False,,True,True,,
1082,اقبال,"s.m. Prosperity, good fortune, auspices, felicity; prestige; — acceptance (of a bond, bill, &c.); admission…",explicit_review_required,5.340,False,False,,True,True,,
1083,نمبر,"number, numeral; phone number",explicit_review_required,5.330,False,False,,True,True,,
1084,لی,took (feminine of لینا),explicit_review_required,5.420,False,False,,True,True,,
1085,رپورٹ,report,explicit_review_required,5.340,False,False,,True,True,,
1086,اچہی,"adj. Imperishable; undecayable: — aććhai-lok, s.m. The imperishable world, heaven",explicit_review_required,0.000,False,False,,True,True,,
1087,خطاب,"(inf. n. of iii of خطب 'to recite'), s.m. Conversation, discourse, speech, address, harangue…",explicit_review_required,5.270,False,False,,True,True,,
1088,سرکاری,"governmental, official",explicit_review_required,5.480,False,False,,True,True,,
1090,کہتے,form of کَہْنا (kahnā — to say) | also: plural masculine of کَہْنا (kahnā — to say),explicit_review_required,5.630,False,False,,True,True,,
1091,باوجود,despite (کے باوجود),explicit_review_required,5.270,False,False,,True,True,,
1092,چکا,already done (completive of چکنا),explicit_review_required,5.360,False,False,,True,True,,
1093,حسن,beauty,explicit_review_required,5.400,False,False,,True,True,,
1094,بنایا,"made, built (of بنانا)",explicit_review_required,5.460,False,False,,True,True,,
1095,صوبائی,provincial,explicit_review_required,5.230,False,False,,True,True,,
1096,کانفرنس,conference,explicit_review_required,5.300,False,False,,True,True,,
1097,مولانا,a maulana,explicit_review_required,5.520,False,False,,True,True,,
1098,میر,"(contrac. of amīr, q.v.), s.m. Chief, leader, master, head, dux; a title by which the Saiyids (or descendants…",explicit_review_required,5.170,False,False,,True,True,,
1099,پہنچ,"(see pahuṅćnā), s.f. Arrival; reach; access, admittance; attainment, comprehension; sagacity, penetration;… | also: form of پَہُن٘چنا (pahũcnā — to arrive, to reach)",explicit_review_required,5.350,False,False,,True,True,,
1100,پیداوار,"produce; yield (of land); production, manufacture",explicit_review_required,4.920,False,False,,True,True,,
1101,کیے,did (plural of کرنا),explicit_review_required,5.690,False,False,,True,True,,
1102,پروفیسر,professor,explicit_review_required,5.050,False,False,,True,True,,
1103,درج,"(inf. n. of درج 'to fold or roll up'), s.m. Folding up, fold; comprising, including, holding; insertion,…",explicit_review_required,5.280,False,False,,True,True,,
1104,چاہتے,want (plural of چاہنا),explicit_review_required,5.440,False,False,,True,True,,
1105,چودہری,"s.m. The head man of a caste, guild, profession, or trade; the head man of a village; a title, an honorific…",explicit_review_required,0.000,False,False,,True,True,,
1106,دیتا,gives (masculine of دینا),explicit_review_required,5.500,False,False,,True,True,,
1107,قیام,"stay, residence; establishment",explicit_review_required,5.330,False,False,,True,True,,
1108,ڈالر,dollar,explicit_review_required,5.300,False,False,,True,True,,
1109,بہترین,"best, excellent",explicit_review_required,5.360,False,False,,True,True,,
1110,زیر,"under, below (زیرِ غور = under consideration)",explicit_review_required,5.410,False,False,,True,True,,
1111,وزیراعظم,prime minister,explicit_review_required,5.620,False,False,,True,True,,
1112,زخمی,"(rel. n. fr. zaḵẖm), adj. & s.m.f. Wounded, hurt; slain, killed by a wound; — a wounded person: — zaḵẖmī…",explicit_review_required,5.290,False,False,,True,True,,
1113,شخصیت,"(for A. شخصية, abst. s. fr. شخصی, rel. n. of shaḵẖṣ), s.f. Individuality, personality, identity; nobility,…",explicit_review_required,5.080,False,False,,True,True,,
1114,سکول,school,explicit_review_required,4.910,False,False,,True,True,,
1115,سری,"s.f. Cascade, waterfall; water-course, channel for water (in a garden, &c.), a river; — sari-tīr, s.m. Bank…",explicit_review_required,5.040,False,False,,True,True,,
1116,نیوز,news,explicit_review_required,5.380,False,False,,True,True,,
1117,حیثیت,"status, standing, capacity",explicit_review_required,5.320,False,False,,True,True,,
1118,کہیں,"somewhere, anywhere | also: plural perfective of کَہْنا (kahnā — to say)",explicit_review_required,5.540,False,False,,True,True,,
1119,این,the English letter N (in acronyms),explicit_review_required,5.610,False,False,,True,True,,
1120,ملا,"met, received (of ملنا); mullah",explicit_review_required,5.370,False,False,,True,True,,
1121,ایف,the English letter F (in acronyms),explicit_review_required,5.270,False,False,,True,True,,
1122,چل,"s.f.m. (masc. in S., but fem. in H., in which it is the v.n. of ćalnā, q.v.), Going, departure; dispersion;…",explicit_review_required,5.260,False,False,,True,True,,
1123,زائد,"(act. part. of زيد 'to increase,' &c.), adj. Exceeding, in excess, beyond, more (than, -se), redundant,…",explicit_review_required,5.050,False,False,,True,True,,
1124,شرح,rate; commentary,explicit_review_required,5.020,False,False,,True,True,,
1125,تقریب,"s.f. Giving access (to), causing to approach, bringing near; approaching; approximation, proximity; approach,…",explicit_review_required,5.070,False,False,,True,True,,
1126,چاہیے,"should, ought to, is needed",explicit_review_required,5.610,False,False,,True,True,,
1127,آتا,"(imperf. part. of آنا ānā, q.v.), s.m. One who comes, a comer; that which is coming to or due, dues,…",explicit_review_required,5.400,False,False,,True,True,,
1128,تعالی,"adj., lit. 'He is exalted'; or 'be He exalted'; the Exalted, the Most High (God)",explicit_review_required,5.630,False,False,,True,True,,
1129,دیکہا,"(fr. dekhnā, q.v.), s.m. (f. -ī), Seeing, sight: — dekhā-bhālī, s.f. Looking, scanning; ogling…",explicit_review_required,0.000,False,False,,True,True,,
1130,اچہا,"adj. (f. -ī), Good; serviceable; useful; fit; excellent; nice, fine; — sound; hale; healthy; salubrious (as…",explicit_review_required,0.000,False,False,,True,True,,
1131,رہیں,plural perfective of رَہْنا (rahnā — to live) | also: feminine of رَہْنا (rahnā — to live),explicit_review_required,5.370,False,False,,True,True,,
1132,جمع,"(inf. n. of جمع 'to collect'), s.f. A collection, a number together, an assemblage, a congregation, assembly;…",explicit_review_required,5.310,False,False,,True,True,,
1133,آؤٹ,out,explicit_review_required,4.720,False,False,,True,True,,
1134,سالہ,"(fr. sāl), adj. aff. Years old, &c. (used with numerals, e.g. du-sāla, 'Two years old'; ṣad-sāla, 'of a…",explicit_review_required,4.940,False,False,,True,True,,
1135,رہتے,"(formative or oblique of rahtā, imperf. part. of rahnā), adv. In the presence (of, -ke), before; while (he… | also: form of رَہْنا (rahnā — to live)",explicit_review_required,5.250,False,False,,True,True,,
1136,ارکان,"s.m. pl. (of رکن rukn), Supports, props; posts, pillars, columns; component parts; fundamentals, essentials;…",explicit_review_required,5.080,False,False,,True,True,,
